Year,FDI,FMD,INF,IS,GDPR
1970,0.072826324,11.2365497,1.562243485,981356,6.800041706
1971,0.070763624,12.49343793,5.32484105,981356,7.895400383
1972,0.024893934,12.92235768,10.8396027,981356,6.105635463
1973,0.044331264,13.09386383,17.82971565,981356,19.66337495
1974,0.057241382,12.91379979,16.66751573,981356,16.3837752
1975,-0.010486395,14.93373333,-1.64868155,1465420,-1.058119211
1976,-0.007502573,17.8877017,5.981859342,1613640,4.310193436
1977,-0.029682109,18.04178519,5.637229339,1726750,18.27363334
1978,0.0131755,19.6954207,2.460282317,1867830,13.01615058
1979,0.03174683,20.95673624,15.72804321,2016070,11.4284958
1980,0.042484827,20.54345895,11.50832081,2149470,21.78791488
1981,0.047506181,21.22546245,10.82758198,2295530,3.845566441
1982,0.03591159,22.68789892,8.095863097,2466360,3.733791179
1983,0.002584047,22.89266876,8.552859607,2668240,8.742303934
1984,0.009068703,24.28257464,7.923232845,2897860,-2.79665338
1985,0.045627777,24.56366516,7.193785446,3165210,9.593614765
1986,0.047283784,25.8010011,6.789400453,3487910,7.085279408
1987,0.076091199,25.38235951,9.327893305,3800990,12.06798405
1988,0.030766482,25.27511744,8.232515365,4174280,6.291504579
1989,0.085156734,26.58981401,8.436808873,4588830,-0.18430887
1990,0.073740021,24.91645657,10.66830385,5074730,8.423345854
1991,0.02722554,23.82174445,13.75181894,5809930,-15.84953544
1992,0.095941829,24.69824025,8.96515236,6796750,6.702232684
1993,0.197056163,23.83205539,9.861782853,8025590,-3.092347918
1994,0.297385909,23.6473414,9.980044775,9795300,17.17874821
1995,0.594986258,22.5107747,9.06270222,11978000,10.08519145
1996,0.617479056,23.40244204,7.575018288,14542700,9.052660391
1997,0.860208566,23.55532535,6.476271263,17801700,5.846493187
1998,0.625285966,23.67774686,8.010167523,21593700,1.318621987
1999,0.472644846,25.42286221,3.068395521,26511300,8.892561634
2000,0.765212649,28.33955116,3.644970161,32436100,2.086768497
2001,1.056378305,28.61941543,3.215616017,38536200,3.6392531
2002,1.011571805,32.30648907,3.715683777,41420000,6.076316885
2003,0.605889255,31.62626562,3.867798086,42000000,18.01408049
2004,0.765601405,36.19180385,5.725413227,46198000,16.6939853
2005,0.88610072,40.06798048,5.621903263,50176500,15.68544224
2006,2.130168425,43.62775243,8.400938217,40770000,14.61250398
2007,2.073395746,45.62776475,6.944418254,39250000,29.40416326
2008,3.620521897,49.55936669,9.193969626,37900000,-1.466206932
2009,2.651593127,48.12444791,7.040365435,37060000,11.92689529
2010,1.635034274,50.55537498,10.52603086,35090000,24.87011437
